Designator,Mid X,Mid Y,Rotation,Layer
FAN1,377.0,-86.0,0.0,top
HEATLAMP1,346.0,-136.0,0.0,top
HUMIDIFER1,311.0,-87.0,0.0,top
J1,341.96,-190.5,0.0,top
J3,87.04,-73.0,90.0,top
J4,109.54,-72.5,90.0,top
J5,134.46,-72.5,90.0,top
PELTIER1,127.5,-132.0,0.0,top
PELTIER2,159.5,-178.0,0.0,top
U1,230.07,-123.23,0.0,top
WATERPUMP1,100.5,-178.0,0.0,top
